num,Cargo,Empresa,Industria,Region,Modalidad,Seniority,Salario,Skills,Exp_minima,Fuente,Notas,Es_Duplicado,ID,Tipo_Rol,skill_SQL,skill_Power_BI,skill_Python,skill_Excel,skill_Tableau,skill_GCP_BigQuery,skill_AWS,skill_Azure,skill_DAX,skill_Machine_Learning,skill_ETL,skill_Looker,skill_Databricks,skill_Scrum,skill_Ingles,skill_IA_GenAI,skill_SAP,skill_R_lang,Seniority_norm,Modalidad_norm
11.0,Data Engineer,Equifax,Tecnología / Datos,"Providencia, RM",Presencial,Senior,No especificado,"SQL, BigQuery, Python (3+ años c/u), Looker Studio (4-5+ años), GCP/AWS/Azure (deseable)",3-5+ años,LinkedIn,"Muy senior. Rol de ingeniería, no analítica pura.",False,11,BI / Analytics,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,Senior,Presencial
12.0,Data Scientist,Banco Bci,Banca,"Las Condes, RM",Híbrido (3 días remoto),Junior / Semi-Senior,No especificado,"Python/R avanzado (NumPy, Pandas, Scikit-learn), SQL/Teradata, ML (regresión, Random Forest, etc.), Airflow, Power BI/Qlik/Tableau (nociones)",Hasta 2 años,LinkedIn,ML y estadística fuertes. Power BI solo nociones. Banca con stack técnico exigente.,False,12,Data Science / ML,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Junior / Semi-Senior,Remoto
13.0,Analista BI,Apiux Tech,Consultoría TI,"Gran Santiago, RM",Híbrido,Semi-Senior,No especificado,"Power BI Desktop y Service (experto), DAX avanzado, modelado de datos, BigQuery + Power BI en tiempo real, Inglés intermedio",Semi-Senior (no especificada),LinkedIn,Solo 10 solicitudes — baja competencia. DAX y BigQuery excluyentes.,False,13,BI / Analytics,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Semi-Senior,Híbrido
14.0,Business Analyst,Grupo Falabella,Retail / Ecommerce,"Gran Santiago, RM",Híbrido,Junior / Semi-Senior,No especificado,"SQL, Looker (idealmente), Python (deseable), nube (deseable), Inglés (deseable)",2 años,LinkedIn,"Foco ecommerce/retail. Looker aparece como principal herramienta BI, no Power BI.",False,14,BI / Analytics,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Junior / Semi-Senior,Híbrido
15.0,Analista de Inteligencia Comercial,Tottus (Grupo Falabella),Retail / Supermercado,"Gran Santiago, RM",Remoto,Junior / Semi-Senior,No especificado,"SQL (excluyente), Power BI / Looker / Tableau, BigQuery / SQL Server, estadística aplicada",1 año,LinkedIn,100% remoto. SQL excluyente. Foco en análisis comercial/retail. Proceso vía Aira.,False,15,BI / Analytics,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Junior / Semi-Senior,Remoto
16.0,BI Engineer,Cencosud Media,Retail / Media,"Las Condes, RM",No especificado,Junior / Semi-Senior,No especificado,"SQL intermedio, Power BI intermedio, Python básico, modelamiento de datos, ETL/ELT; deseable: Databricks, Spark, Microsoft Fabric, Inglés",1 año,LinkedIn,Solo 1 año exp. SQL y Power BI intermedios — accesible. Databricks deseable no excluyente.,False,16,BI / Analytics,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,Junior / Semi-Senior,No especificado
17.0,CRM Business Analyst,Itaú Chile,Banca,"Gran Santiago, RM",Híbrido,Semi-Senior,No especificado,"SQL, SSIS o AWS Glue, Python (deseable Athena), AWS (deseable)",No especificada,LinkedIn,Sin años exp. explícitos. Foco CRM/banca. Power BI no mencionado. N°1 GPTW 2025.,False,17,BI / Analytics,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
18.0,"Analista de Datos (Fraude, Riesgo y Auditoría B2B)",Tata Consultancy Services,Consultoría TI / Telecomunicaciones,"Gran Santiago, RM",Presencial,Semi-Senior,No especificado,"Excel avanzado (excluyente), Power BI, SQL; deseable: Python, ETL",2-3 años,LinkedIn,46 solicitudes. Foco fraude/auditoría. Excel excluyente. Postular a p.herrera@tcs.com,False,18,BI / Analytics,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Semi-Senior,Presencial
,Specialist Data Science,BHP,Minería,RM,Híbrido,Senior,,"Python, SQL, AWS, SageMaker, ML",6 años,LinkedIn,Vacante Data Science Senior,False,19,Data Science / ML,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Senior,Híbrido
,Analista Programador SQL,SII Group,Consultoría TI,RM,,Semi Senior,,"SQL, ETL, MDX",2+ años,LinkedIn,ETL y bases de datos,False,20,Data Engineering,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Semi-Senior,No especificado
,Analista de Pricing,Tottus,Retail,RM,Remoto,Junior/Semi,,"Excel Avanzado, Pricing",1+ años,LinkedIn,Análisis comercial,False,21,Analista de Datos General,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior / Semi-Senior,Remoto
,Líder de Analítica y Transformación,Empresa Confidencial,,RM,Híbrido,Semi Senior,,"Power BI, SQL, IA",3+ años,LinkedIn,Experiencia cliente,False,22,BI / Analytics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
,Automation Assistant Temporary,Kraft Heinz,Consumo Masivo,RM,,Junior,,"Excel, VBA, Power BI",,LinkedIn,Proyecto temporal,False,23,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,No especificado
,Service Excellence Operations Analyst,Johnson & Johnson MedTech,Salud,RM,Híbrido,,,"Excel, Power BI, Salesforce",,LinkedIn,Inglés intermedio,False,24,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No especificado,Híbrido
,Ingeniero/a de Datos,BancoEstado,Financiero,RM,Presencial,Semi Senior,,"AWS, ETL, Data Lake",2+ años,LinkedIn,Data Engineering,False,25,Data Engineering,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Semi-Senior,Presencial
,Analista Control de Gestión Compras,Blue Express,Logística,RM,Híbrido,,,"Power BI, SQL, SAP",3+ años,LinkedIn,Compras,False,26,BI / Analytics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No especificado,Híbrido
,BI & Data Scientist,SICPA,Tecnología,RM,Híbrido,Semi/Senior,,"Python, SQL, ML, Power BI",3+ años,LinkedIn,IA y MLOps,False,27,Data Science / ML,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
,Product Manager Analytics CX,Banco Falabella,Financiero,RM,Híbrido,Junior,,"SQL, Power BI",0-2 años,LinkedIn,Analytics CX,False,28,BI / Analytics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Híbrido
,Líder de Analítica Digital,Banco BICE,Financiero,RM,Híbrido,Senior,,"GA4, GTM, Looker, SQL",3+ años,LinkedIn,Analítica digital,False,29,BI / Analytics,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Senior,Híbrido
,Analista Cuantitativo,Banco Central de Chile,Financiero,RM,Híbrido,Senior,,"Python, R, Finanzas",Experiencia requerida,LinkedIn,Modelación financiera,False,30,Analista de Datos General,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Senior,Híbrido
,Data & Analytics Strategy Executive,dentsu,Marketing,RM,,Junior/Semi,,"GA4, CRO, Hotjar",,LinkedIn,Experimentación,False,31,Analista de Datos General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior / Semi-Senior,No especificado
,Analista Control Operaciones Siniestros Masivos,BNP Paribas Cardif,Seguros,RM,Híbrido,,,"SQL, Power BI",1+ años,LinkedIn,Control operacional,False,32,BI / Analytics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No especificado,Híbrido
,Research Analyst,Aurora Energy Research,Energía,RM,Híbrido,Junior,,"Python, Excel",0-2 años,LinkedIn,Inglés C1,False,33,Analista de Datos General,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Junior,Híbrido
,Analyst,Compass Lexecon,Consultoría Económica,RM,Presencial,Junior,,"Stata, Excel, Python",,LinkedIn,Econometría,False,34,Analista de Datos General,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Presencial
,Data QA Analyst,Blend,Tecnología,Remoto,Remoto,Junior/Semi,,"Azure, Databricks, SQL",1+ años,LinkedIn,QA de datos,False,35,Data Engineering,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Junior / Semi-Senior,Remoto
,Data Business Partner,Banco Bci,Financiero,RM,Híbrido,Semi Senior,,"Python, SQL, ETL",2-4 años,LinkedIn,Data Partner,False,36,Data Engineering,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Semi-Senior,Híbrido
,Data Engineer,Equifax,Financiero,RM,,Semi Senior,,"Python, SQL, GCP",2+ años,LinkedIn,BigQuery,True,37,Data Engineering,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,No especificado
,Data Engineer GCP,KPaz,Consultoría TI,RM,Híbrido,Semi Senior,,"Python, SQL, GCP",3+ años,LinkedIn,"BigQuery, Composer",False,38,Data Engineering,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
,Data Scientist - Junior a Senior,Muck Consultores,Consultoría,RM,Remoto,Junior-Senior,,"Machine Learning, Estadística",,LinkedIn,Sector financiero,False,39,Data Science / ML,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Junior / Semi-Senior,Remoto
41.0,Analista de Datos - SQL,Perceptual Consultores,Consultoría / Financiero,"Santiago Centro, RM",Híbrido (4+1),Semi-Senior,A convenir,"SQL sólido + PostgreSQL (excluyente), Python, PHP, JS, Tableau / Power BI / QuickSight / Pentaho",3 años,Trabajando.cl,Primera oferta de Trabajando.cl. 3 años mínimo. Stack variado.,False,40,BI / Analytics,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
42.0,Analista de Datos Junior,ECRGROUP,Servicios / Operaciones,"Ñuñoa, RM",Híbrido,Junior,$800.000 líquido,"Excel avanzado (excluyente), Power BI intermedio (deseable)",1 año,Trabajando.cl,"Primera oferta con salario explícito: $800K líquido. Excel excluyente, Power BI solo deseable.",False,41,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Híbrido
43.0,Data Analyst BI,Perceptual Consultores,Consultoría / Financiero,"Santiago Centro, RM",Híbrido,Semi-Senior,A convenir,"SQL avanzado, PostgreSQL, Python, PHP, JS, Tableau, Amazon QuickSight",3 años,Trabajando.cl,Segunda oferta de Perceptual. Stack idéntico a oferta 41 — probablemente mismo cliente.,False,42,BI / Analytics,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
44.0,Analista QA Senior - Gobierno del Dato,Banco de Chile,Banca,"Santiago Centro, RM",Híbrido,Senior,A convenir,"QA/ISTQB, Big Data, Data Lake, Data Warehouse, Control M, pruebas automatizadas, metodologías ágiles",3 años (rubro financiero),Trabajando.cl,"Rol QA datos, no analítica pura. Senior con exp. financiera. Útil para mapear sector banca.",False,43,Analista de Datos General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior,Híbrido
45.0,Analista de Datos RRHH,Empresa Confidencial,Recursos Humanos,"Providencia, RM",Híbrido,Semi-Senior,A convenir,"Power BI (excluyente), Excel, ERP BUK (deseable), legislación laboral chilena",2-4 años,Trabajando.cl,Foco RRHH/personas. Power BI excluyente. BUK es ERP RRHH muy usado en Chile.,False,44,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
46.0,Data Analyst (Reemplazo Pre/Post Natal),Clínica Alemana,Salud,"Vitacura, RM",No especificado,Junior / Semi-Senior,A convenir,"SQL avanzado, Python/R/Java, Looker/Tableau/Power BI, Airflow (deseable), Git, JIRA (deseable)",1-3 años,Trabajando.cl,¡Tu ex empleador! Reemplazo temporal. Sin exp. mínima en formulario. Stack sólido.,False,45,BI / Analytics,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Junior / Semi-Senior,No especificado
47.0,Analista Control Datos Maestros,Empresa Confidencial (Retail),Retail,"Santiago Centro, RM",Presencial,Junior,A convenir,"Excel intermedio, SAP (conocimientos)",1 año (retail),Trabajando.cl,"Rol de gobernanza/calidad de datos, no analítica BI. Stack muy básico. SAP suma para tu CV.",False,46,Datos Operacionales / Industrial,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Junior,Presencial
48.0,Analista de Datos / BI Junior,Empresa Confidencial,Desconocida,"Santiago Centro, RM",Presencial,Junior / Semi-Senior,Acorde al mercado,"Power BI, SQL, Python (automatización), Excel avanzado + macros, CRM",2 años,Trabajando.cl,"Proyecto 3 meses renovable. Viernes hasta 15:35. 61 postulantes, 60% técnicos.",False,47,BI / Analytics,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior / Semi-Senior,Presencial
49.0,Analista de Protección de Datos,Empresa Confidencial,Corporativo,"Las Condes, RM",Híbrido,Junior,Acorde al mercado,"Excel avanzado (excluyente), gestión de riesgos, DPIA; deseable: curso protección datos",1 año,Trabajando.cl,"Rol de privacidad/compliance, no analítica BI. Contrato por proyecto. Viernes hasta 14:00.",False,48,Privacidad / Compliance,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Híbrido
50.0,Analista de Privacidad de Datos,Empresa Confidencial,Corporativo,"Las Condes, RM",Híbrido,Junior,Acorde al mercado,"Excel avanzado (excluyente), gestión de riesgos, DPIA; deseable: curso protección datos",1 año,Trabajando.cl,⚠ Probable duplicado de oferta #49. Stack y funciones idénticas.,False,49,Privacidad / Compliance,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Híbrido
51.0,Analista Data Analytics Junior,Empresa Confidencial (Retail),Retail,"Las Condes, RM",Híbrido,Junior,A convenir,"Looker (excluyente), SQL, GCP, Data Lake; deseable: Python, QlikView, Big Data",1 año,Trabajando.cl,Ya postulaste (09/06). Migración Power BI → Looker. QlikView aparece por primera vez.,False,50,BI / Analytics,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Junior,Híbrido
52.0,Data Analyst / GCP,Michael Page (cliente retail),Retail,"Huechuraba, RM",Híbrido (3x2),Senior,Renta mercado,"Python, SQL, BigQuery, Looker, Looker Studio, Power BI, Power Apps, Excel, Inglés B1",4 años,Trabajando.cl,Muy senior. Proyecto 10 meses. Primera aparición de Power Apps. Michael Page = headhunter.,False,51,BI / Analytics,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Senior,Híbrido
53.0,Analista de Datos,CGE S.A.,Energía / Utilities,"Las Condes, RM",Presencial,Senior,A convenir,"SAP HANA, Data Lake, ML supervisado/no supervisado, SAP IS-U, Python (implícito), Inglés (deseable)",3 años,Trabajando.cl,"Primer rol del sector energía. ML + SAP HANA. 61 postulantes, 60% técnicos.",False,52,Data Science / ML,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Senior,Presencial
54.0,Analista de Datos - Desarrollador,VALIO SpA,Consultoría TI,"Santiago Centro, RM",Presencial,Semi-Senior,Renta mercado,"PostgreSQL (excluyente), SQL avanzado, ETL, modelado datos, Power BI/Tableau, Python (Pandas, Matplotlib); deseable: Talend, Pentaho, SSIS",2-3 años,Trabajando.cl,Rol híbrido analista+dev. Pentaho aparece por segunda vez. Contrato 3m + indefinido.,False,53,BI / Analytics,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Semi-Senior,Presencial
55.0,Analista de Confiabilidad de Datos,Empresa Confidencial (Alimentos),Industria / Alimentos,"Santiago Centro, RM",Presencial,Junior,A convenir,"ERP (no especificado), KPIs, análisis de fallas, TPM; sin stack técnico BI explícito",1 año,Trabajando.cl,"Rol industrial/mantenimiento, no BI puro. Primer sector alimentos. Stack técnico muy vago.",False,54,Datos Operacionales / Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Presencial
56.0,Analista de Datos (Maquinaria),Empresa Confidencial (Minería/Construcción),Minería / Construcción,"Huechuraba, RM",Presencial,Junior,A convenir,"Python (IA/predictivo), análisis de datos; deseable: Máximo, ReQlogic, Dynamics",1 año,Trabajando.cl,Sector movimiento de tierra. Python + IA predictiva. Primer rol con Máximo (ERP mantenimiento).,False,55,Datos Operacionales / Industrial,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Presencial
57.0,Analista de Datos / Compensaciones,Consorcio,Servicios Financieros / Seguros,"Las Condes, RM",Híbrido,Junior / Semi-Senior,A convenir,"Python, R, Power BI, estadística, AWS (estructura datos); deseable: exp. proyectos datos",Hasta 2 años,Trabajando.cl,Ya postulaste (09/06). Hasta 2 años exp. Foco RRHH/compensaciones. AWS como plataforma.,False,56,BI / Analytics,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Junior / Semi-Senior,Híbrido
58.0,Analista de Datos,Forum Servicios Financieros (BBVA),Servicios Financieros,"Las Condes, RM",Híbrido,Junior,A convenir,"SQL intermedio, Excel/Sheets avanzado, Google Workspace (Sheets, Data Studio, AppScript, Gemini), herramientas IA (ChatGPT/Gemini avanzado)",0-1 año,Trabajando.cl,0-1 año exp. Primera oferta con IA/Gemini como req. explícito avanzado. Google stack puro.,False,57,Analista de Datos General,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Junior,Híbrido
59.0,Analista de Datos,Forum Servicios Financieros (BBVA),Servicios Financieros,"Las Condes, RM",Híbrido,Junior,A convenir,"SQL intermedio, Excel/Sheets avanzado, Google Workspace, Gemini/ChatGPT avanzado",0-1 año,Trabajando.cl,⚠ Duplicado oferta #58. Ya postulaste (09/06).,True,58,Analista de Datos General,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Junior,Híbrido
60.0,Data Analyst Financiero,Quelen Fruit,Agroindustria / Exportación,"Las Condes, RM",Presencial,Junior,A convenir,"Excel avanzado, Power BI intermedio, Inglés intermedio-avanzado",0-2 años,Trabajando.cl,Primer sector agroindustria/exportación. 0-2 años exp. Excel + Power BI intermedios.,False,59,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Junior,Presencial
61.0,Data Analyst Financiero,Quelen Fruit,Agroindustria / Exportación,"Las Condes, RM",Presencial,Junior,A convenir,"Excel avanzado, Power BI intermedio, Inglés intermedio-avanzado",0-2 años,Trabajando.cl,⚠ Duplicado oferta #60.,True,60,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Junior,Presencial
62.0,Analista Datos de Negocio,Bci Seguros,Seguros / Banca,"Las Condes, RM",Híbrido,Junior / Semi-Senior,A convenir,"SQL, Python, R, Excel/PPT; deseable: PySpark, TypeScript, ETL, herramientas BI, IA/prompts",1 año,Trabajando.cl,"IA como req. explícito (prompts, implementación). PySpark y TypeScript aparecen por primera vez.",False,61,Data Engineering,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,Junior / Semi-Senior,Híbrido
63.0,Analista de Consistencia de Datos,Soprole,Consumo Masivo / Logística,"Renca, RM",Presencial,Junior,A convenir,"Excel, Power BI, SAP (deseable)",1 año (o práctica),Trabajando.cl,Sin exp. mínima en formulario. Foco logístico. Tu práctica en Clínica Alemana puede contar.,False,62,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Junior,Presencial
64.0,Analista de Gestión de Datos,BancoEstado Cobranzas,Banca / Cobranza,"Santiago Centro, RM",Presencial,Semi-Senior,A convenir,"Python, Power BI, AWS, Data Lake, ETL",3 años,Trabajando.cl,Formulario dice 'sin exp.' pero perfil pide 3 años. Banco Estado = empresa pública grande.,False,63,BI / Analytics,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Semi-Senior,Presencial
65.0,Analista de Datos de Activos,Transelec,Energía / Transmisión,"Cerro Navia, RM",Presencial,Senior,A convenir,"SQL, Python (Pandas), Power BI, Power Query/M, Excel avanzado, ERP/EAM, GIS; deseable: GCP/BigQuery",3 años,Trabajando.cl,Sector transmisión eléctrica. Stack completo ETL+BI. GIS aparece por primera vez.,False,64,BI / Analytics,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Senior,Presencial
66.0,Analista de Datos de Activos,Transelec,Energía / Transmisión,"Canela, Región Coquimbo",Presencial,Senior,A convenir,"SQL, Python (Pandas), Power BI, Power Query/M, Excel avanzado, ERP/EAM, GIS; deseable: GCP/BigQuery",3 años,Trabajando.cl,Mismo cargo que #65 pero en Canela (Coquimbo) — fuera de Santiago. Primera oferta de regiones.,True,65,BI / Analytics,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Senior,Presencial
67.0,Analista de Datos de Activos,Transelec,Energía / Transmisión,"Canela, Región Coquimbo",Presencial,Senior,A convenir,"SQL, Python (Pandas), Power BI, Power Query/M, Excel avanzado, ERP/EAM, GIS; deseable: GCP/BigQuery",3 años,Trabajando.cl,⚠ Duplicado oferta #66.,True,66,BI / Analytics,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Senior,Presencial
68.0,Analista de Datos (Laboratorio LIMS),Empresa Confidencial,Minería / Laboratorio Químico,Antofagasta,Turnos (7x7),Junior,$1.200.000 líquido,"Microsoft Office intermedio, sistema LIMS",1 año,Trabajando.cl,⚠ NO es rol TI/BI. Analista químico de laboratorio. Útil solo para análisis de ruido en el mercado.,False,67,Datos Operacionales / Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,No especificado
40.0,Analista de Datos Sucursal Quilicura,Komatsu Cummins,Industrial/Mining,"Quilicura, RM",Presencial,Senior,No especificado,"SQL Server, Python, R, IA, ETL, Data Warehouse",4 años,Trabajando,Analítica avanzada,False,68,Data Engineering,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Senior,Presencial
41.0,Ingeniero Analista de Datos,CyD Ingeniería,Minería,Coquimbo/Atacama,Terreno,Senior,No especificado,"Análisis de datos, IA",5 años,Trabajando,Rubro minero,False,69,Analista de Datos General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior,No especificado
42.0,Data Analyst,WOM,Telecomunicaciones,"Santiago, RM",Presencial,Semi-Senior,No especificado,"Google Analytics, SQL, BigQuery, Python, Power BI",3 años,Trabajando,Ecommerce,False,70,BI / Analytics,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Presencial
